mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_random_seed,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score,sample_weight
2.0125810384750364,0.027873539924621583,0.8642065928308015,0.8734330032956319,0.1,2,1,50,42,0.8,"{'learning_rate': 0.1, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 50, 'random_seed': 42, 'subsample': 0.8}",1,0.8693532483115433,0.8720142678742845,0.8525666918128412,0.8750737540145292,0.8552100101574704,0.8732212005664781,0.8622336329398741,0.8733287475811544,0.852209147023788,0.8757708825076668,0.8690183975261403,0.8731847216790509,0.8753504433936156,0.872689183079684,0.8453715571762979,0.8756004405165789,0.8901275131033404,0.870811856670875,0.8706319691417086,0.8726349784660172,0.7010029464988569,0.02112436329145759,0.01267214284727639,0.00151809853488429,55
2.978984069824219,0.012734317779541015,0.8639325715321935,0.8781664114591485,0.1,2,1,80,42,0.8,"{'learning_rate': 0.1, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 80, 'random_seed': 42, 'subsample': 0.8}",2,0.8713654372761347,0.8768942171519655,0.8546234310866118,0.8798416557044832,0.8535170984086631,0.8779056267109894,0.8620546511208171,0.8790357716406361,0.8483933749654069,0.8799401263485671,0.8705269585724772,0.8783222803762166,0.8733335138192012,0.8777265209026166,0.8451594365112318,0.8801741467949756,0.8901410527202595,0.8750217817549512,0.870216754222856,0.876801987206085,0.538884173084683,0.008617696318767196,0.013060864053217049,0.0015618556743297617,55
0.5501469850540162,0.013734889030456544,0.8635177283716086,0.8830728293015463,0.1,3,1,50,42,0.8,"{'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 50, 'random_seed': 42, 'subsample': 0.8}",3,0.8750408377834142,0.8823174796458918,0.8535601637075362,0.8835326895272633,0.8499723788083089,0.8840258396439957,0.8612680335463067,0.8841334638793429,0.8497485230239805,0.8854241682083485,0.8680347495457772,0.8829097337212731,0.8658072531254136,0.8822843517678722,0.8488015934624711,0.8840796820233586,0.8922923474085174,0.8796571352073779,0.8706590483755469,0.8823637493907396,0.2753479999031838,0.0020207228524619356,0.013157105505064734,0.0014891542385612627,55
3.1655367851257323,0.02922837734222412,0.8611173638874444,0.8928202807667975,0.1,3,1,80,42,0.8,"{'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 80, 'random_seed': 42, 'subsample': 0.8}",4,0.8747289856191602,0.8929628152368423,0.8536759945114019,0.8928786730721371,0.8474612263809111,0.8948337192318175,0.8577981927348421,0.8942061794859704,0.8389539640712799,0.8950488669216566,0.8688303914136856,0.8931682647458281,0.8624637524215186,0.891171705909056,0.8463584448095127,0.8927921436279307,0.8921253587998483,0.8889432261700574,0.8687845636331907,0.8921972132666789,0.8664385482259043,0.0178451675496538,0.014928488182720816,0.0017095151582820628,55
2.484637808799744,0.013238167762756348,0.8509805148712496,0.9189823261217469,0.1,5,1,50,42,0.8,"{'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 50, 'random_seed': 42, 'subsample': 0.8}",12,0.8557921341974113,0.9167749367452389,0.8475948773084485,0.9183173085469477,0.845958395951268,0.9209331225335087,0.8481587433370633,0.9197319923706397,0.8220499584882504,0.9230191815726726,0.857665836431674,0.91933075754592,0.8507171305153473,0.9204134573335514,0.8387070568483382,0.9188497421321269,0.8811898615348509,0.915731511949641,0.8619786495285204,0.9167212504872235,0.3325496361566405,0.002793289387589825,0.014606438911785915,0.0020939436385564005,55
2.119210624694824,0.03476715087890625,0.844485819338435,0.9401715356165183,0.1,5,1,80,42,0.8,"{'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 80, 'random_seed': 42, 'subsample': 0.8}",15,0.85293942939964,0.9401798094357734,0.842196864846242,0.9377453344058497,0.8411083522919649,0.9392577824095472,0.8486204863492522,0.9413899082017472,0.8073373521519932,0.9450677369220544,0.857653804040477,0.9408875464469204,0.8402309015870724,0.9410897818161983,0.8276888174799464,0.9404504015756826,0.8715331058677691,0.9371979676772069,0.8555533490994651,0.9384490872742038,1.4956336616273689,0.025010766943920792,0.016770981051367036,0.0021312257757463964,55
3.192595052719116,0.03379123210906983,0.8479849436063872,0.943048391250621,0.1,8,1,50,42,0.8,"{'learning_rate': 0.1, 'max_depth': 8, 'min_child_weight': 1, 'n_estimators': 50, 'random_seed': 42, 'subsample': 0.8}",14,0.8660416753292267,0.9423483218971096,0.8415583104146742,0.9415689143586826,0.8513786835680639,0.9416133000912528,0.8401556991420904,0.9451962119468089,0.8243541614024955,0.9453721162229304,0.8502629077476567,0.9422132356272264,0.8514841954541625,0.9418931205396395,0.8360051510720368,0.9443832102238898,0.8730585693739883,0.9420512126409619,0.8455490765981262,0.9438442689577078,0.9706634255030433,0.01613461974340985,0.013394226572148785,0.001421018318870203,55
2.5568087816238405,0.022359657287597656,0.8395170985980391,0.9656377007678152,0.1,8,1,80,42,0.8,"{'learning_rate': 0.1, 'max_depth': 8, 'min_child_weight': 1, 'n_estimators': 80, 'random_seed': 42, 'subsample': 0.8}",16,0.8630033442432091,0.9654016640298171,0.8308454460673957,0.9647580616489494,0.8389981526471794,0.9644055496794302,0.8363444392304082,0.9670665886349159,0.8076501943231178,0.9673660678376976,0.8443580117676786,0.9650039616830819,0.8457567772443417,0.9641342035167912,0.825438232267615,0.9672983560507054,0.8626240379349979,0.9655365670918732,0.8401512826530427,0.9654059875048906,1.8593013337955095,0.006103995871276595,0.015644574111075747,0.0011340402165401686,55
2.4474427938461303,0.029665327072143553,0.8486894825961041,0.8535850727882328,0.01,2,1,50,42,0.8,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 50, 'random_seed': 42, 'subsample': 0.8}",13,0.8465642801561043,0.8535089356608716,0.8409865814468752,0.8582940213140399,0.856224272196449,0.8538994449283606,0.8431502605012694,0.8521150210195717,0.8365535020274579,0.8529448757455316,0.8387343729319328,0.8540773161515552,0.8641302386023174,0.8500540397610601,0.8286681831037617,0.8551247403015718,0.8784819381510299,0.8535810832299716,0.853405063214967,0.8522512497697938,0.4365000505479982,0.014323321056292105,0.013951758748373129,0.0020423001973221932,55
3.3432347536087037,0.0399566650390625,0.8529269122160021,0.8575097621439658,0.01,2,1,80,42,0.8,"{'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 80, 'random_seed': 42, 'subsample': 0.8}",11,0.8514321439390791,0.8590317281141489,0.8416162258166071,0.8590697254121188,0.8597511716731314,0.8578490159218308,0.8506163592390715,0.8576374315719792,0.8393329843939887,0.8596447521336228,0.8485167069751772,0.8566012179979678,0.8686754743770229,0.854703918506746,0.8334837735213234,0.8584084230675071,0.8774679712839769,0.8547054137830803,0.8583801202317982,0.857445994930657,0.6256035335977594,0.02603463692924676,0.01282256534685006,0.0016374882931157366,55
