selected_features_length,iterating_feature,train_auc,val_auc,test_auc,best_feature,best_feature_row
2,sourcing_channel_B,0.8008782605955347,0.8008782605955347,0,count_6-12_months_late,0
2,sourcing_channel_D,0.8009358469190897,0.8009358469190897,0,count_6-12_months_late,0
2,sourcing_channel_E,0.8006594969829492,0.8006594969829492,0,count_6-12_months_late,0
3,age_in_days,0.8281482200788941,0.8281482200788941,0,count_more_than_12_months_late,0
3,income,0.826613048532485,0.826613048532485,0,count_more_than_12_months_late,0
3,count_more_than_12_months_late,0.8321334879553317,0.8321334879553317,0,count_more_than_12_months_late,1
3,application_underwriting_score,0.8307143270106119,0.8307143270106119,0,count_more_than_12_months_late,0
3,no_of_premiums_paid,0.828933720305302,0.828933720305302,0,count_more_than_12_months_late,0
3,premium,0.8251104810369809,0.8251104810369809,0,count_more_than_12_months_late,0
3,count_total_prem_paid,0.8296263585923316,0.8296263585923316,0,count_more_than_12_months_late,0
3,plan_age,0.8296263585923316,0.8296263585923316,0,count_more_than_12_months_late,0
3,total_prem_am_paid,0.8262760972400449,0.8262760972400449,0,count_more_than_12_months_late,0
3,age_years,0.8281482200788941,0.8281482200788941,0,count_more_than_12_months_late,0
3,prem_by_income,0.8248615670969477,0.8248615670969477,0,count_more_than_12_months_late,0
3,total_prem_am_paid_cash_credit,0.8257331895419313,0.8257331895419313,0,count_more_than_12_months_late,0
3,residence_area_type_Urban,0.8235671357581842,0.8235671357581842,0,count_more_than_12_months_late,0
3,residence_area_type_Rural,0.8235671357581842,0.8235671357581842,0,count_more_than_12_months_late,0
3,sourcing_channel_C,0.8237528583004907,0.8237528583004907,0,count_more_than_12_months_late,0
3,sourcing_channel_A,0.8238608836093384,0.8238608836093384,0,count_more_than_12_months_late,0
3,sourcing_channel_B,0.823642637203168,0.823642637203168,0,count_more_than_12_months_late,0
3,sourcing_channel_D,0.8236355433229334,0.8236355433229334,0,count_more_than_12_months_late,0
3,sourcing_channel_E,0.8235527475301122,0.8235527475301122,0,count_more_than_12_months_late,0
4,age_in_days,0.8362719157531424,0.8362719157531424,0,application_underwriting_score,0
4,income,0.8346004489565515,0.8346004489565515,0,application_underwriting_score,0
4,application_underwriting_score,0.8390563131939036,0.8390563131939036,0,application_underwriting_score,1
4,no_of_premiums_paid,0.8380919330526947,0.8380919330526947,0,application_underwriting_score,0
4,premium,0.8334188381116925,0.8334188381116925,0,application_underwriting_score,0
4,count_total_prem_paid,0.8381800332182836,0.8381800332182836,0,application_underwriting_score,0
4,plan_age,0.8381800332182836,0.8381800332182836,0,application_underwriting_score,0
4,total_prem_am_paid,0.8344139552821996,0.8344139552821996,0,application_underwriting_score,0
4,age_years,0.8362719157531424,0.8362719157531424,0,application_underwriting_score,0
4,prem_by_income,0.833145070198275,0.833145070198275,0,application_underwriting_score,0
4,total_prem_am_paid_cash_credit,0.8346606239850827,0.8346606239850827,0,application_underwriting_score,0
4,residence_area_type_Urban,0.8323855291899673,0.8323855291899673,0,application_underwriting_score,0
4,residence_area_type_Rural,0.8323855291899673,0.8323855291899673,0,application_underwriting_score,0
4,sourcing_channel_C,0.8321649306305917,0.8321649306305917,0,application_underwriting_score,0
4,sourcing_channel_A,0.8324184740357969,0.8324184740357969,0,application_underwriting_score,0
4,sourcing_channel_B,0.8321551598396356,0.8321551598396356,0,application_underwriting_score,0
4,sourcing_channel_D,0.8320853810764838,0.8320853810764838,0,application_underwriting_score,0
4,sourcing_channel_E,0.8321334879553317,0.8321334879553317,0,application_underwriting_score,0
5,age_in_days,0.8423708298361761,0.8423708298361761,0,count_total_prem_paid,0
5,income,0.8412736572820299,0.8412736572820299,0,count_total_prem_paid,0
5,no_of_premiums_paid,0.8419614335614682,0.8419614335614682,0,count_total_prem_paid,0
5,premium,0.8401612117694582,0.8401612117694582,0,count_total_prem_paid,0
5,count_total_prem_paid,0.8426381480385889,0.8426381480385889,0,count_total_prem_paid,1
5,plan_age,0.8426381480385889,0.8426381480385889,0,count_total_prem_paid,0
5,total_prem_am_paid,0.84090512699636,0.84090512699636,0,count_total_prem_paid,0
5,age_years,0.8423708298361761,0.8423708298361761,0,count_total_prem_paid,0
5,prem_by_income,0.8397508345399478,0.8397508345399478,0,count_total_prem_paid,0
5,total_prem_am_paid_cash_credit,0.8410676206893151,0.8410676206893151,0,count_total_prem_paid,0
5,residence_area_type_Urban,0.8391099903992055,0.8391099903992055,0,count_total_prem_paid,0
5,residence_area_type_Rural,0.8391099903992055,0.8391099903992055,0,count_total_prem_paid,0
5,sourcing_channel_C,0.8392380344028599,0.8392380344028599,0,count_total_prem_paid,0
5,sourcing_channel_A,0.8395046923986347,0.8395046923986347,0,count_total_prem_paid,0
5,sourcing_channel_B,0.8390563131939036,0.8390563131939036,0,count_total_prem_paid,0
5,sourcing_channel_D,0.8393091576354007,0.8393091576354007,0,count_total_prem_paid,0
5,sourcing_channel_E,0.8390563131939036,0.8390563131939036,0,count_total_prem_paid,0
